Area,Year,Population,Data quality rating,Data quality,Type of primary data,Data footnote,Modifications,Modification footnote,Source of gapminder
Germany,1845,"32,743,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1846,"33,059,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1847,"33,231,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1848,"33,289,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1849,"33,452,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1850,"33,746,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1851,"34,055,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1852,"34,290,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1853,"34,422,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1854,"34,531,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1855,"34,586,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1856,"34,715,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1857,"34,979,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1858,"35,278,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1859,"35,633,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1860,"36,049,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1861,"36,435,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1862,"36,788,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1863,"37,184,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1864,"37,602,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1865,"37,955,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1866,"38,193,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1867,"38,440,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1868,"38,637,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1869,"38,914,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1870,"39,231,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1871,"39,456,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1872,"39,691,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1873,"40,017,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1874,"40,450,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1875,"40,897,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1876,"41,491,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1877,"42,034,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1878,"42,546,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1879,"43,052,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1880,"43,500,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1881,"43,827,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1882,"44,112,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1883,"44,404,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1884,"44,777,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1885,"45,084,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1886,"45,505,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1887,"46,001,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1888,"46,538,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1889,"47,083,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1890,"47,607,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1891,"48,129,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1892,"48,633,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1893,"49,123,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1894,"49,703,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1895,"50,363,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1896,"51,111,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1897,"51,921,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1898,"52,753,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1899,"53,592,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1900,"54,388,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1901,"55,214,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1902,"56,104,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1903,"56,963,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1904,"57,806,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1905,"58,644,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1906,"59,481,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1907,"60,341,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1908,"61,187,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1909,"62,038,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1910,"62,884,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1911,"63,852,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1912,"64,457,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1913,"65,058,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1914,"66,096,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1915,"66,230,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1916,"66,076,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1917,"65,763,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1918,"65,237,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1919,"60,547,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1920,"60,894,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1921,"61,573,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1922,"61,900,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1923,"62,307,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1924,"62,697,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1925,"63,166,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1926,"63,630,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1927,"64,023,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1928,"64,393,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1929,"64,739,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1930,"65,084,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1931,"65,423,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1932,"65,716,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1933,"66,027,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1934,"66,409,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1935,"66,871,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1936,"67,349,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1937,"67,831,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1938,"68,558,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1939,"69,286,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1940,"69,835,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1941,"70,244,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1942,"70,834,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1943,"70,411,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1944,"69,865,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1945,"67,000,000",,NA,NA,Some uncorrected frontier changes,NA,,Maddison on-line
Germany,1946,"64,678,000",,NA,NA,,NA,,Maddison on-line
Germany,1947,"66,094,000",,NA,NA,,NA,,Maddison on-line
Germany,1948,"67,295,000",,NA,NA,,NA,,Maddison on-line
Germany,1949,"67,991,000",,NA,NA,,NA,,Maddison on-line
Germany,1950,"68,374,572",,NA,NA,,NA,,Maddison on-line
Germany,1951,"68,875,884",,NA,NA,,NA,,Maddison on-line
Germany,1952,"69,145,952",,NA,NA,,NA,,Maddison on-line
Germany,1953,"69,550,236",,NA,NA,,NA,,Maddison on-line
Germany,1954,"69,868,115",,NA,NA,,NA,,Maddison on-line
Germany,1955,"70,195,612",,NA,NA,,NA,,Maddison on-line
Germany,1956,"70,602,518",,NA,NA,,NA,,Maddison on-line
Germany,1957,"71,019,069",,NA,NA,,NA,,Maddison on-line
Germany,1958,"71,488,167",,NA,NA,,NA,,Maddison on-line
Germany,1959,"72,013,853",,NA,NA,,NA,,Maddison on-line
Germany,1960,"72,480,869",,NA,NA,,NA,,Maddison on-line
Germany,1961,"73,123,148",,NA,NA,,NA,,Maddison on-line
Germany,1962,"73,739,117",,NA,NA,,NA,,Maddison on-line
Germany,1963,"74,340,260",,NA,NA,,NA,,Maddison on-line
Germany,1964,"74,954,262",,NA,NA,,NA,,Maddison on-line
Germany,1965,"75,638,851",,NA,NA,,NA,,Maddison on-line
Germany,1966,"76,206,173",,NA,NA,,NA,,Maddison on-line
Germany,1967,"76,368,453",,NA,NA,,NA,,Maddison on-line
Germany,1968,"76,584,401",,NA,NA,,NA,,Maddison on-line
Germany,1969,"77,143,888",,NA,NA,,NA,,Maddison on-line
Germany,1970,"77,783,164",,NA,NA,,NA,,Maddison on-line
Germany,1971,"78,354,709",,NA,NA,,NA,,Maddison on-line
Germany,1972,"78,717,088",,NA,NA,,NA,,Maddison on-line
Germany,1973,"78,950,220",,NA,NA,,NA,,Maddison on-line
Germany,1974,"78,966,137",,NA,NA,,NA,,Maddison on-line
Germany,1975,"78,682,325",,NA,NA,,NA,,Maddison on-line
Germany,1976,"78,298,957",,NA,NA,,NA,,Maddison on-line
Germany,1977,"78,160,773",,NA,NA,,NA,,Maddison on-line
Germany,1978,"78,066,074",,NA,NA,,NA,,Maddison on-line
Germany,1979,"78,081,292",,NA,NA,,NA,,Maddison on-line
Germany,1980,"78,297,904",,NA,NA,,NA,,Maddison on-line
Germany,1981,"78,401,830",,NA,NA,,NA,,Maddison on-line
Germany,1982,"78,335,266",,NA,NA,,NA,,Maddison on-line
Germany,1983,"78,121,655",,NA,NA,,NA,,Maddison on-line
Germany,1984,"77,855,422",,NA,NA,,NA,,Maddison on-line
Germany,1985,"77,684,907",,NA,NA,,NA,,Maddison on-line
Germany,1986,"77,713,485",,NA,NA,,NA,,Maddison on-line
Germany,1987,"77,718,298",,NA,NA,,NA,,Maddison on-line
Germany,1988,"78,030,572",,NA,NA,,NA,,Maddison on-line
Germany,1989,"78,644,914",,NA,NA,,NA,,Maddison on-line
Germany,1990,"79,380,394",,NA,NA,,NA,,Maddison on-line
Germany,1991,"79,984,244",,NA,NA,,NA,,Maddison on-line
Germany,1992,"80,597,764",,NA,NA,,NA,,Maddison on-line
Germany,1993,"81,132,272",,NA,NA,,NA,,Maddison on-line
Germany,1994,"81,414,164",,NA,NA,,NA,,Maddison on-line
Germany,1995,"81,653,702",,NA,NA,,NA,,Maddison on-line
Germany,1996,"81,890,667",,NA,NA,,NA,,Maddison on-line
Germany,1997,"82,011,073",,NA,NA,,NA,,Maddison on-line
Germany,1998,"82,023,672",,NA,NA,,NA,,Maddison on-line
Germany,1999,"82,074,778",,NA,NA,,NA,,Maddison on-line
Germany,2000,"82,187,909",,NA,NA,,NA,,Maddison on-line
Germany,2001,"82,280,551",,NA,NA,,NA,,Maddison on-line
Germany,2002,"82,350,671",,NA,NA,,NA,,Maddison on-line
Germany,2003,"82,398,326",,NA,NA,,NA,,Maddison on-line
Germany,2004,"82,424,609",,NA,NA,,NA,,Maddison on-line
Germany,2005,"82,431,390",,NA,NA,,NA,,Maddison on-line
Germany,2006,"82,422,299",,NA,NA,,NA,,Maddison on-line
Germany,2007,"82,400,996",,NA,NA,,NA,,Maddison on-line
Germany,2008,"82,369,548",,NA,NA,,Temporal extrapolation,,Maddison on-line
Germany,2030,"79,572,500",,NA,NA,,Temporal extrapolation,,Maddison on-line
Ghana,1800,"2,016,034",5,Very poor,Arbitrary guess,,,,No data
Ghana,1820,"2,016,034",5,Very poor,NA,,Geographical interpolation,"Very rough (more than 50 years, involving many countries and some arbitrary assumptions)",Maddison on-line
Ghana,1870,"1,579,000",,NA,NA,,NA,,Maddison on-line
Ghana,1913,"2,043,000",,NA,NA,,NA,,Maddison on-line
Ghana,1950,"5,297,454",,NA,NA,,NA,,Maddison on-line
Ghana,1951,"5,436,555",,NA,NA,,NA,,Maddison on-line
Ghana,1952,"5,581,001",,NA,NA,,NA,,Maddison on-line
Ghana,1953,"5,731,008",,NA,NA,,NA,,Maddison on-line
Ghana,1954,"5,886,798",,NA,NA,,NA,,Maddison on-line
Ghana,1955,"6,048,606",,NA,NA,,NA,,Maddison on-line
Ghana,1956,"6,216,679",,NA,NA,,NA,,Maddison on-line
Ghana,1957,"6,391,288",,NA,NA,,NA,,Maddison on-line
Ghana,1958,"6,572,719",,NA,NA,,NA,,Maddison on-line
Ghana,1959,"6,761,280",,NA,NA,,NA,,Maddison on-line
Ghana,1960,"6,958,283",,NA,NA,,NA,,Maddison on-line
Ghana,1961,"7,153,508",,NA,NA,,NA,,Maddison on-line
Ghana,1962,"7,355,248",,NA,NA,,NA,,Maddison on-line
Ghana,1963,"7,563,839",,NA,NA,,NA,,Maddison on-line
Ghana,1964,"7,781,813",,NA,NA,,NA,,Maddison on-line
Ghana,1965,"8,009,602",,NA,NA,,NA,,Maddison on-line
Ghana,1966,"8,245,481",,NA,NA,,NA,,Maddison on-line
Ghana,1967,"8,490,213",,NA,NA,,NA,,Maddison on-line
Ghana,1968,"8,744,302",,NA,NA,,NA,,Maddison on-line
Ghana,1969,"9,009,048",,NA,NA,,NA,,Maddison on-line
Ghana,1970,"8,788,945",,NA,NA,,NA,,Maddison on-line
Ghana,1971,"9,065,500",,NA,NA,,NA,,Maddison on-line
Ghana,1972,"9,354,120",,NA,NA,,NA,,Maddison on-line
Ghana,1973,"9,649,958",,NA,NA,,NA,,Maddison on-line
Ghana,1974,"9,905,330",,NA,NA,,NA,,Maddison on-line
Ghana,1975,"10,118,240",,NA,NA,,NA,,Maddison on-line
Ghana,1976,"10,333,176",,NA,NA,,NA,,Maddison on-line
Ghana,1977,"10,538,093",,NA,NA,,NA,,Maddison on-line
Ghana,1978,"10,720,559",,NA,NA,,NA,,Maddison on-line
Ghana,1979,"10,878,226",,NA,NA,,NA,,Maddison on-line
Ghana,1980,"11,015,630",,NA,NA,,NA,,Maddison on-line
Ghana,1981,"11,176,529",,NA,NA,,NA,,Maddison on-line
Ghana,1982,"11,400,338",,NA,NA,,NA,,Maddison on-line
Ghana,1983,"12,150,541",,NA,NA,,NA,,Maddison on-line
Ghana,1984,"12,829,647",,NA,NA,,NA,,Maddison on-line
Ghana,1985,"13,224,725",,NA,NA,,NA,,Maddison on-line
Ghana,1986,"13,776,193",,NA,NA,,NA,,Maddison on-line
Ghana,1987,"14,168,101",,NA,NA,,NA,,Maddison on-line
Ghana,1988,"14,568,008",,NA,NA,,NA,,Maddison on-line
Ghana,1989,"14,975,941",,NA,NA,,NA,,Maddison on-line
Ghana,1990,"15,399,466",,NA,NA,,NA,,Maddison on-line
Ghana,1991,"15,837,581",,NA,NA,,NA,,Maddison on-line
Ghana,1992,"16,278,738",,NA,NA,,NA,,Maddison on-line
Ghana,1993,"16,784,962",,NA,NA,,NA,,Maddison on-line
Ghana,1994,"17,274,479",,NA,NA,,NA,,Maddison on-line
Ghana,1995,"17,669,087",,NA,NA,,NA,,Maddison on-line
Ghana,1996,"18,041,282",,NA,NA,,NA,,Maddison on-line
Ghana,1997,"18,418,288",,NA,NA,,NA,,Maddison on-line
Ghana,1998,"18,819,453",,NA,NA,,NA,,Maddison on-line
Ghana,1999,"19,232,823",,NA,NA,,NA,,Maddison on-line
Ghana,2000,"19,657,719",,NA,NA,,NA,,Maddison on-line
Ghana,2001,"20,093,021",,NA,NA,,NA,,Maddison on-line
Ghana,2002,"20,550,751",,NA,NA,,NA,,Maddison on-line
Ghana,2003,"21,019,630",,NA,NA,,NA,,Maddison on-line
Ghana,2004,"21,483,085",,NA,NA,,NA,,Maddison on-line
Ghana,2005,"21,946,247",,NA,NA,,NA,,Maddison on-line
Ghana,2006,"22,409,572",,NA,NA,,NA,,Maddison on-line
Ghana,2007,"22,873,338",,NA,NA,,NA,,Maddison on-line
Ghana,2008,"23,336,661",,NA,NA,,Temporal extrapolation,,Maddison on-line
Ghana,2030,"32,640,860",,NA,NA,,Temporal extrapolation,,Maddison on-line
Gibraltar,1800,"9,873",5,Very poor,Arbitrary guess,,,,No data
Gibraltar,1820,"9,873",5,Very poor,NA,,Geographical extrapolation,"Very rough (more than 50 years, in several steps)",Maddison on-line
Gibraltar,1950,"22,974",,NA,NA,,NA,,Maddison on-line
Gibraltar,1951,"23,230",,NA,NA,,NA,,Maddison on-line
Gibraltar,1952,"23,332",,NA,NA,,NA,,Maddison on-line
Gibraltar,1953,"23,449",,NA,NA,,NA,,Maddison on-line
Gibraltar,1954,"23,566",,NA,NA,,NA,,Maddison on-line
Gibraltar,1955,"23,698",,NA,NA,,NA,,Maddison on-line
Gibraltar,1956,"23,833",,NA,NA,,NA,,Maddison on-line
Gibraltar,1957,"23,947",,NA,NA,,NA,,Maddison on-line
Gibraltar,1958,"24,074",,NA,NA,,NA,,Maddison on-line
Gibraltar,1959,"24,207",,NA,NA,,NA,,Maddison on-line
Gibraltar,1960,"24,342",,NA,NA,,NA,,Maddison on-line
Gibraltar,1961,"24,474",,NA,NA,,NA,,Maddison on-line
Gibraltar,1962,"24,767",,NA,NA,,NA,,Maddison on-line
Gibraltar,1963,"25,018",,NA,NA,,NA,,Maddison on-line
Gibraltar,1964,"25,376",,NA,NA,,NA,,Maddison on-line
Gibraltar,1965,"25,492",,NA,NA,,NA,,Maddison on-line
Gibraltar,1966,"25,649",,NA,NA,,NA,,Maddison on-line
Gibraltar,1967,"25,926",,NA,NA,,NA,,Maddison on-line
Gibraltar,1968,"26,097",,NA,NA,,NA,,Maddison on-line
Gibraltar,1969,"26,310",,NA,NA,,NA,,Maddison on-line
Gibraltar,1970,"26,485",,NA,NA,,NA,,Maddison on-line
Gibraltar,1971,"27,910",,NA,NA,,NA,,Maddison on-line
Gibraltar,1972,"28,873",,NA,NA,,NA,,Maddison on-line
Gibraltar,1973,"29,434",,NA,NA,,NA,,Maddison on-line
Gibraltar,1974,"28,871",,NA,NA,,NA,,Maddison on-line
Gibraltar,1975,"29,379",,NA,NA,,NA,,Maddison on-line
Gibraltar,1976,"29,696",,NA,NA,,NA,,Maddison on-line
Gibraltar,1977,"28,900",,NA,NA,,NA,,Maddison on-line
Gibraltar,1978,"28,980",,NA,NA,,NA,,Maddison on-line
Gibraltar,1979,"29,263",,NA,NA,,NA,,Maddison on-line
Gibraltar,1980,"29,233",,NA,NA,,NA,,Maddison on-line
Gibraltar,1981,"29,701",,NA,NA,,NA,,Maddison on-line
Gibraltar,1982,"29,282",,NA,NA,,NA,,Maddison on-line
Gibraltar,1983,"28,750",,NA,NA,,NA,,Maddison on-line
Gibraltar,1984,"28,194",,NA,NA,,NA,,Maddison on-line
Gibraltar,1985,"27,905",,NA,NA,,NA,,Maddison on-line
Gibraltar,1986,"27,969",,NA,NA,,NA,,Maddison on-line
Gibraltar,1987,"28,214",,NA,NA,,NA,,Maddison on-line
Gibraltar,1988,"28,556",,NA,NA,,NA,,Maddison on-line
Gibraltar,1989,"28,905",,NA,NA,,NA,,Maddison on-line
Gibraltar,1990,"29,017",,NA,NA,,NA,,Maddison on-line
Gibraltar,1991,"28,928",,NA,NA,,NA,,Maddison on-line
Gibraltar,1992,"28,209",,NA,NA,,NA,,Maddison on-line
Gibraltar,1993,"28,266",,NA,NA,,NA,,Maddison on-line
Gibraltar,1994,"27,606",,NA,NA,,NA,,Maddison on-line
Gibraltar,1995,"27,400",,NA,NA,,NA,,Maddison on-line
Gibraltar,1996,"27,274",,NA,NA,,NA,,Maddison on-line
Gibraltar,1997,"27,340",,NA,NA,,NA,,Maddison on-line
Gibraltar,1998,"27,422",,NA,NA,,NA,,Maddison on-line
Gibraltar,1999,"27,501",,NA,NA,,NA,,Maddison on-line
Gibraltar,2000,"27,578",,NA,NA,,NA,,Maddison on-line
Gibraltar,2001,"27,649",,NA,NA,,NA,,Maddison on-line
Gibraltar,2002,"27,714",,NA,NA,,NA,,Maddison on-line
Gibraltar,2003,"27,776",,NA,NA,,NA,,Maddison on-line
Gibraltar,2004,"27,833",,NA,NA,,NA,,Maddison on-line
Gibraltar,2005,"27,884",,NA,NA,,NA,,Maddison on-line
Gibraltar,2006,"27,928",,NA,NA,,NA,,Maddison on-line
Gibraltar,2007,"27,967",,NA,NA,,NA,,Maddison on-line
Gibraltar,2008,"28,002",,NA,NA,,Temporal extrapolation,,Maddison on-line
Gibraltar,2030,"27,717",,NA,NA,,Temporal extrapolation,,Maddison on-line
Greece,1600,"1,500,000",,NA,NA,,NA,,Maddison on-line
Greece,1700,"1,500,000",,NA,NA,,NA,,Maddison on-line
Greece,1820,"2,312,000",,NA,NA,,NA,,Maddison on-line
Greece,1821,"2,333,000",,NA,NA,,NA,,Maddison on-line
Greece,1822,"2,355,000",,NA,NA,,NA,,Maddison on-line
Greece,1823,"2,376,000",,NA,NA,,NA,,Maddison on-line
Greece,1824,"2,398,000",,NA,NA,,NA,,Maddison on-line
Greece,1825,"2,420,000",,NA,NA,,NA,,Maddison on-line
Greece,1826,"2,443,000",,NA,NA,,NA,,Maddison on-line
Greece,1827,"2,465,000",,NA,NA,,NA,,Maddison on-line
Greece,1828,"2,488,000",,NA,NA,,NA,,Maddison on-line
Greece,1829,"2,511,000",,NA,NA,,NA,,Maddison on-line
Greece,1830,"2,534,000",,NA,NA,,NA,,Maddison on-line
Greece,1831,"2,557,000",,NA,NA,,NA,,Maddison on-line
Greece,1832,"2,581,000",,NA,NA,,NA,,Maddison on-line
Greece,1833,"2,605,000",,NA,NA,,NA,,Maddison on-line
Greece,1834,"2,629,000",,NA,NA,,NA,,Maddison on-line
Greece,1835,"2,653,000",,NA,NA,,NA,,Maddison on-line
Greece,1836,"2,677,000",,NA,NA,,NA,,Maddison on-line
Greece,1837,"2,702,000",,NA,NA,,NA,,Maddison on-line
Greece,1838,"2,727,000",,NA,NA,,NA,,Maddison on-line
Greece,1839,"2,752,000",,NA,NA,,NA,,Maddison on-line
Greece,1840,"2,777,000",,NA,NA,,NA,,Maddison on-line
Greece,1841,"2,803,000",,NA,NA,,NA,,Maddison on-line
Greece,1842,"2,829,000",,NA,NA,,NA,,Maddison on-line
Greece,1843,"2,855,000",,NA,NA,,NA,,Maddison on-line
Greece,1844,"2,881,000",,NA,NA,,NA,,Maddison on-line
Greece,1845,"2,908,000",,NA,NA,,NA,,Maddison on-line
Greece,1846,"2,934,000",,NA,NA,,NA,,Maddison on-line
Greece,1847,"2,961,000",,NA,NA,,NA,,Maddison on-line
Greece,1848,"2,989,000",,NA,NA,,NA,,Maddison on-line
Greece,1849,"3,016,000",,NA,NA,,NA,,Maddison on-line
Greece,1850,"3,044,000",,NA,NA,,NA,,Maddison on-line
Greece,1851,"3,072,000",,NA,NA,,NA,,Maddison on-line
Greece,1852,"3,100,000",,NA,NA,,NA,,Maddison on-line
Greece,1853,"3,129,000",,NA,NA,,NA,,Maddison on-line
Greece,1854,"3,158,000",,NA,NA,,NA,,Maddison on-line
Greece,1855,"3,187,000",,NA,NA,,NA,,Maddison on-line
Greece,1856,"3,216,000",,NA,NA,,NA,,Maddison on-line
Greece,1857,"3,246,000",,NA,NA,,NA,,Maddison on-line
Greece,1858,"3,273,000",,NA,NA,,NA,,Maddison on-line
Greece,1859,"3,306,000",,NA,NA,,NA,,Maddison on-line
Greece,1860,"3,336,000",,NA,NA,,NA,,Maddison on-line
Greece,1861,"3,367,000",,NA,NA,,NA,,Maddison on-line
Greece,1862,"3,398,000",,NA,NA,,NA,,Maddison on-line
Greece,1863,"3,430,000",,NA,NA,,NA,,Maddison on-line
Greece,1864,"3,461,000",,NA,NA,,NA,,Maddison on-line
Greece,1865,"3,493,000",,NA,NA,,NA,,Maddison on-line
Greece,1866,"3,525,000",,NA,NA,,NA,,Maddison on-line
Greece,1867,"3,558,000",,NA,NA,,NA,,Maddison on-line
Greece,1868,"3,591,000",,NA,NA,,NA,,Maddison on-line
Greece,1869,"3,621,000",,NA,NA,,NA,,Maddison on-line
Greece,1870,"3,657,000",,NA,NA,,NA,,Maddison on-line
Greece,1871,"3,694,000",,NA,NA,,NA,,Maddison on-line
Greece,1872,"3,732,000",,NA,NA,,NA,,Maddison on-line
Greece,1873,"3,770,000",,NA,NA,,NA,,Maddison on-line
Greece,1874,"3,809,000",,NA,NA,,NA,,Maddison on-line
Greece,1875,"3,848,000",,NA,NA,,NA,,Maddison on-line
Greece,1876,"3,887,000",,NA,NA,,NA,,Maddison on-line
Greece,1877,"3,927,000",,NA,NA,,NA,,Maddison on-line
Greece,1878,"3,967,000",,NA,NA,,NA,,Maddison on-line
Greece,1879,"4,008,000",,NA,NA,,NA,,Maddison on-line
Greece,1880,"4,049,000",,NA,NA,,NA,,Maddison on-line
Greece,1881,"4,090,000",,NA,NA,,NA,,Maddison on-line
Greece,1882,"4,132,000",,NA,NA,,NA,,Maddison on-line
Greece,1883,"4,174,000",,NA,NA,,NA,,Maddison on-line
Greece,1884,"4,217,000",,NA,NA,,NA,,Maddison on-line
Greece,1885,"4,260,000",,NA,NA,,NA,,Maddison on-line
Greece,1886,"4,303,000",,NA,NA,,NA,,Maddison on-line
Greece,1887,"4,347,000",,NA,NA,,NA,,Maddison on-line
Greece,1888,"4,392,000",,NA,NA,,NA,,Maddison on-line
Greece,1889,"4,437,000",,NA,NA,,NA,,Maddison on-line
Greece,1890,"4,482,000",,NA,NA,,NA,,Maddison on-line
Greece,1891,"4,528,000",,NA,NA,,NA,,Maddison on-line
Greece,1892,"4,574,000",,NA,NA,,NA,,Maddison on-line
Greece,1893,"4,621,000",,NA,NA,,NA,,Maddison on-line
